,grado_entrada,grado_salida,grado_total,intermediacion,cercania
barevalodeleon,2523.0,0.0,2523.0,0.8860758223464124,0.8350213219616205
guatemalagob,619.0,2.0,621.0,0.029389378600329284,0.527086137281292
ubaldomacu,413.0,11.0,424.0,0.010519962158396212,0.5035358405657345
santipalomov,370.0,0.0,370.0,0.007632601449225441,0.3868856507779699
mpguatemala,337.0,1.0,338.0,0.008065136918532273,0.383147853736089
fjimenezmingob,279.0,2.0,281.0,0.005549790672006632,0.39113607990012483
__vadertg,218.0,21.0,239.0,0.004648923428294155,0.4859624631611602
congresoguate,218.0,0.0,218.0,0.003252572640674031,0.35756676557863504
mingobguate,208.0,0.0,208.0,0.0035067883186927894,0.36459909228441756
usaidguate,187.0,1.0,188.0,0.0013575789538323544,0.3795275590551181
olsenpsico,168.0,1.0,169.0,0.001765792379852589,0.4732628398791541
diariodeca,159.0,9.0,168.0,0.003916640100920586,0.4803741183685986
elquenews,154.0,6.0,160.0,0.0021280031283269574,0.47868601986249043
vicentecarrera_,140.0,19.0,159.0,0.0034266436492086435,0.47362055933484504
pncdeguatemala,154.0,0.0,154.0,0.001233441656599311,0.3499776586237712
agn_noticias,130.0,7.0,137.0,0.0021625672378665604,0.4762121903024776
_spguatemala,137.0,0.0,137.0,0.0005100482423371858,0.3422921446520267
karinherreravp,136.0,0.0,136.0,0.002904899030334557,0.35578014989779694
uclcgt,130.0,4.0,134.0,0.000711569599140569,0.4704910647244331
radio_tgw,123.0,5.0,128.0,0.0006320955245069719,0.47534516765285995
bancadasemilla,127.0,0.0,127.0,0.002159174201369498,0.3563466787989081
ivanduque,116.0,1.0,117.0,0.0009670441368665572,0.46469890240284784
drgiammattei,114.0,0.0,114.0,0.0009191480716680482,0.34281650071123754
felixsinexcusas,107.0,0.0,107.0,0.0013098114311900324,0.34117390830883154
mendiamariela,81.0,17.0,98.0,0.0013123723825966206,0.4682409206396652
elrevoltijogt,1.0,95.0,96.0,0.020088141289071427,0.46950397122733406
gersongudielcas,85.0,9.0,94.0,0.0013603934723203342,0.4669150521609538
dtransitopnc,90.0,0.0,90.0,0.0004039969498280862,0.3394733990681547
jimmymoralesgt,84.0,0.0,84.0,0.0005126129216849653,0.3341866666666667
avillagran502,84.0,0.0,84.0,0.0005722433027634162,0.3366283442570108
jczamora,79.0,0.0,79.0,0.0004424939204748079,0.3427789934354486
jlfont001,71.0,2.0,73.0,0.0011245024066609888,0.470703125
ottoperezmolina,72.0,0.0,72.0,0.00013259871225408586,0.3280284786933305
drewzecena,70.0,1.0,71.0,0.0003688501786920453,0.4653891859774213
lahoragt,69.0,0.0,69.0,0.00046306735893674524,0.34225475202097444
rafaelae1967,54.0,15.0,69.0,0.00024936133640735355,0.4646299866528252
nenucosm81863,56.0,12.0,68.0,0.0009832501551544895,0.46635903542721047
emisorasunidas,65.0,2.0,67.0,0.0010512846583655346,0.46761194029850744
volker_turk,67.0,0.0,67.0,0.0002899215213795999,0.33351075154353843
samuel_pz,63.0,0.0,63.0,0.0006966812116495746,0.3416948413131203
prensacomunitar,62.0,0.0,62.0,0.0005367048730489546,0.3431168546709013
